Epoch 0/100, Loss: 0.246137
Epoch 1/100, Loss: 0.242335
Epoch 2/100, Loss: 0.221502
Epoch 3/100, Loss: 0.209130
Epoch 4/100, Loss: 0.198045
Epoch 5/100, Loss: 0.184760
Epoch 6/100, Loss: 0.168721
Epoch 7/100, Loss: 0.156590
Epoch 8/100, Loss: 0.147974
Epoch 9/100, Loss: 0.140580
Epoch 10/100, Loss: 0.137008
Epoch 11/100, Loss: 0.131616
Epoch 12/100, Loss: 0.129241
Epoch 13/100, Loss: 0.127896
Epoch 14/100, Loss: 0.127150
Epoch 15/100, Loss: 0.126830
Epoch 16/100, Loss: 0.126769
Epoch 17/100, Loss: 0.126708
Epoch 18/100, Loss: 0.126368
Epoch 19/100, Loss: 0.126004
Epoch 20/100, Loss: 0.125727
Epoch 21/100, Loss: 0.125502
Epoch 22/100, Loss: 0.125308
Epoch 23/100, Loss: 0.125096
Epoch 24/100, Loss: 0.124886
Epoch 25/100, Loss: 0.124762
Epoch 26/100, Loss: 0.124687
Epoch 27/100, Loss: 0.124630
Epoch 28/100, Loss: 0.124571
Epoch 29/100, Loss: 0.124538
Epoch 30/100, Loss: 0.124498
Epoch 31/100, Loss: 0.124465
Epoch 32/100, Loss: 0.124443
Epoch 33/100, Loss: 0.124427
Epoch 34/100, Loss: 0.124410
Epoch 35/100, Loss: 0.124389
Epoch 36/100, Loss: 0.124365
Epoch 37/100, Loss: 0.124342
Epoch 38/100, Loss: 0.124321
Epoch 39/100, Loss: 0.124306
Epoch 40/100, Loss: 0.124288
Epoch 41/100, Loss: 0.124269
Epoch 42/100, Loss: 0.124252
Epoch 43/100, Loss: 0.124235
Epoch 44/100, Loss: 0.124223
Epoch 45/100, Loss: 0.124213
Epoch 46/100, Loss: 0.124204
Epoch 47/100, Loss: 0.124196
Epoch 48/100, Loss: 0.124189
Epoch 49/100, Loss: 0.124183
Epoch 50/100, Loss: 0.124177
Epoch 51/100, Loss: 0.124172
Epoch 52/100, Loss: 0.124168
Epoch 53/100, Loss: 0.124165
Epoch 54/100, Loss: 0.124163
Epoch 55/100, Loss: 0.124161
Epoch 56/100, Loss: 0.124160
Epoch 57/100, Loss: 0.124168
Epoch 58/100, Loss: 0.124162
Epoch 59/100, Loss: 0.124157
Epoch 60/100, Loss: 0.124156
Epoch 61/100, Loss: 0.124152
Epoch 62/100, Loss: 0.124150
Epoch 63/100, Loss: 0.124147
Epoch 64/100, Loss: 0.124144
Epoch 65/100, Loss: 0.124144
Epoch 66/100, Loss: 0.124143
Epoch 67/100, Loss: 0.124141
Epoch 68/100, Loss: 0.124140
Epoch 69/100, Loss: 0.124140
Epoch 70/100, Loss: 0.124139
Epoch 71/100, Loss: 0.124138
Epoch 72/100, Loss: 0.124138
Epoch 73/100, Loss: 0.124137
Epoch 74/100, Loss: 0.124136
Epoch 75/100, Loss: 0.124136
Epoch 76/100, Loss: 0.124136
Epoch 77/100, Loss: 0.124136
Epoch 78/100, Loss: 0.124145
Epoch 79/100, Loss: 0.124135
Epoch 80/100, Loss: 0.124387
Epoch 81/100, Loss: 0.124309
Epoch 82/100, Loss: 0.124294
Epoch 83/100, Loss: 0.124171
Epoch 84/100, Loss: 0.124250
Epoch 85/100, Loss: 0.124252
Epoch 86/100, Loss: 0.124160
Epoch 87/100, Loss: 0.124172
Epoch 88/100, Loss: 0.124198
Epoch 89/100, Loss: 0.124195
Early stopping triggered at epoch 89
Model saved to /home/develop/Station/Model/GATv2_trained.pth
